FILE NAME,DATE-OBS,EXPTIME,FILTER,AIRMASS,FWHM
2002LJ3_80s_b2x2-001_R_c.fit,2019-01-05T22:28:49,80s,R,"1,08499","2,6187"
2002LJ3_80s_b2x2-002_R_c.fit,2019-01-05T22:31:12,80s,R,"1,08183","2,6114"
2002LJ3_80s_b2x2-003_R_c.fit,2019-01-05T22:33:35,80s,R,"1,07880","2,4536"
2002LJ3_80s_b2x2-005_R_c.fit,2019-01-05T23:13:07,80s,R,"1,04733","2,8168"
2002LJ3_80s_b2x2-006_R_c.fit,2019-01-05T23:15:30,80s,R,"1,04650","3,1122"
2002LJ3_80s_b2x2-007_R_c.fit,2019-01-05T23:17:53,80s,R,"1,04579","2,8840"
2002LJ3_80s_b2x2-008_R_c.fit,2019-01-05T23:20:16,80s,R,"1,04520","2,7861"
2002LJ3_80s_b2x2-009_R_c.fit,2019-01-05T23:22:39,80s,R,"1,04472","2,8369"
2002LJ3_80s_b2x2-010_R_c.fit,2019-01-05T23:25:02,80s,R,"1,04435","3,0168"
2002LJ3_80s_b2x2-011_R_c.fit,2019-01-05T23:27:24,80s,R,"1,04411","2,855"
2002LJ3_80s_b2x2-012_R_c.fit,2019-01-05T23:29:48,80s,R,"1,04398","2,7499"
2002LJ3_80s_b2x2-013_R_c.fit,2019-01-05T23:32:11,80s,R,"1,04396","3,0178"
2002LJ3_80s_b2x2-015_R_c.fit,2019-01-05T23:37:53,80s,R,"1,04437","2,7963"
2002LJ3_80s_b2x2-016_R_c.fit,2019-01-05T23:40:16,80s,R,"1,04475","2,806"
2002LJ3_80s_b2x2-017_R_c.fit,2019-01-05T23:42:38,80s,R,"1,04524","2,6447"
2002LJ3_80s_b2x2-018_R_c.fit,2019-01-05T23:45:01,80s,R,"1,04585","2,9185"
2002LJ3_80s_b2x2-019_R_c.fit,2019-01-05T23:47:25,80s,R,"1,04658","3,0229"
2002LJ3_80s_b2x2-020_R_c.fit,2019-01-05T23:49:48,80s,R,"1,04743","2,7655"
2002LJ3_80s_b2x2-021_R_c.fit,2019-01-05T23:52:12,80s,R,"1,04840","2,822"
2002LJ3_80s_b2x2-022_R_c.fit,2019-01-05T23:54:35,80s,R,"1,04948","2,925"
2002LJ3_80s_b2x2-023_R_c.fit,2019-01-05T23:56:58,80s,R,"1,05068","3,0143"
2002LJ3_80s_b2x2-024_R_c.fit,2019-01-05T23:59:21,80s,R,"1,05200","2,7665"
2002LJ3_80s_b2x2-025_R_c.fit,2019-01-06T00:01:44,80s,R,"1,05344","3,0598"
2002LJ3_80s_b2x2-026_R_c.fit,2019-01-06T00:04:07,80s,R,"1,05500","3,21"
2002LJ3_80s_b2x2-027_R_c.fit,2019-01-06T00:06:30,80s,R,"1,05668","2,9234"
2002LJ3_80s_b2x2-028_R_c.fit,2019-01-06T00:08:53,80s,R,"1,05848","3,0576"
2002LJ3_80s_b2x2-029_R_c.fit,2019-01-06T00:11:17,80s,R,"1,06043","3,2088"
2002LJ3_80s_b2x2-030_R_c.fit,2019-01-06T00:13:40,80s,R,"1,06248","3,0374"
2002LJ3_80s_b2x2-031_R_c.fit,2019-01-06T00:16:02,80s,R,"1,06465","2,9961"
2002LJ3_80s_b2x2-032_R_c.fit,2019-01-06T00:18:25,80s,R,"1,06695","3,2618"
2002LJ3_80s_b2x2-033_R_c.fit,2019-01-06T00:25:14,80s,R,"1,07427","3,3847"
2002LJ3_80s_b2x2-034_R_c.fit,2019-01-06T00:27:37,80s,R,"1,07708","3,3637"
2002LJ3_80s_b2x2-035_R_c.fit,2019-01-06T00:30:01,80s,R,"1,08005","3,2598"
2002LJ3_80s_b2x2-036_R_c.fit,2019-01-06T00:32:24,80s,R,"1,08313","3,4367"
2002LJ3_80s_b2x2-037_R_c.fit,2019-01-06T00:34:47,80s,R,"1,08636","3,2021"
2002LJ3_80s_b2x2-038_R_c.fit,2019-01-06T00:37:10,80s,R,"1,08972","3,7574"
2002LJ3_80s_b2x2-039_R_c.fit,2019-01-06T00:39:33,80s,R,"1,09323","3,523"
2002LJ3_80s_b2x2-040_R_c.fit,2019-01-06T00:41:56,80s,R,"1,09688","3,5094"
2002LJ3_80s_b2x2-041_R_c.fit,2019-01-06T00:44:19,80s,R,"1,10067","3,4981"
2002LJ3_80s_b2x2-042_R_c.fit,2019-01-06T00:46:43,80s,R,"1,10465","3,3040"
2002LJ3_80s_b2x2-043_R_c.fit,2019-01-06T00:49:06,80s,R,"1,10875","3,5886"
2002LJ3_80s_b2x2-044_R_c.fit,2019-01-06T00:51:29,80s,R,"1,11300","3,4067"
2002LJ3_80s_b2x2-045_R_c.fit,2019-01-06T00:53:52,80s,R,"1,11741","3,4723"
2002LJ3_80s_b2x2-046_R_c.fit,2019-01-06T00:56:15,80s,R,"1,12198","3,4341"
2002LJ3_80s_b2x2-047_R_c.fit,2019-01-06T00:58:39,80s,R,"1,12675","3,3746"
2002LJ3_80s_b2x2-048_R_c.fit,2019-01-06T01:01:02,80s,R,"1,13165","3,4781"
2002LJ3_80s_b2x2-051_R_c.fit,2019-01-06T01:08:11,80s,R,"1,14738","3,6929"
2002LJ3_80s_b2x2-052_R_c.fit,2019-01-06T01:10:34,80s,R,"1,15298","3,7681"
2002LJ3_80s_b2x2-053_R_c.fit,2019-01-06T02:27:29,80s,R,"1,46548","2,9013"
2002LJ3_80s_b2x2-054_R_c.fit,2019-01-06T02:29:53,80s,R,"1,48102","3,0182"
2002LJ3_80s_b2x2-055_R_c.fit,2019-01-06T02:32:16,80s,R,"1,49696","2,8281"
2002LJ3_80s_b2x2-056_R_c.fit,2019-01-06T02:49:39,80s,R,"1,63026","2,5891"
2002LJ3_80s_b2x2-057_R_c.fit,2019-01-06T02:52:03,80s,R,"1,65134","2,7274"
2002LJ3_80s_b2x2-058_R_c.fit,2019-01-06T02:54:26,80s,R,"1,67302","3,2141"
