,DATE-OBS,EXP-TIME,FILTER,AIRMASS,NAME
2,2019-01-10T23:59:03,40.0,R,1.7060653189110746,1998NU/1998NU_40s_b2x2-001_R.fit
3,2019-01-11T00:34:23,40.0,R,1.4744334870777502,1998NU/1998NU_40s_b2x2-051_R.fit
4,2019-01-11T01:11:52,40.0,R,1.3212799071497279,1998NU/1998NU_40s_b2x2-101_R.fit
5,2019-01-11T01:47:03,40.0,R,1.233214228617669,1998NU/1998NU_40s_b2x2-151_R.fit
10,2019-01-11T02:09:47,10.0,R,1.4341514347296946,GD108/GD108_10s_b2x2-001_R.fit
11,2019-01-11T02:09:59,10.0,R,1.432882511043726,GD108/GD108_10s_b2x2-002_R.fit
12,2019-01-11T02:10:11,10.0,R,1.4316168791344155,GD108/GD108_10s_b2x2-003_R.fit
13,2019-01-11T02:10:24,10.0,R,1.430249485817833,GD108/GD108_10s_b2x2-004_R.fit
14,2019-01-11T02:10:35,10.0,R,1.4290954654493058,GD108/GD108_10s_b2x2-005_R.fit
0,2019-01-11T02:14:16,120.0,R,1.451177379343081,2009SV17_120s/2009SV17_120s_b2x2-001_R.fit
29,2019-01-11T02:14:16,120.0,R,1.451177379343081,2009SV17_120s/2009SV17_120s_b2x2-001_R.fit
30,2019-01-11T02:16:18,120.0,R,1.4436251444006862,2009SV17_120s/2009SV17_120s_b2x2-002_R.fit
1,2019-01-11T02:16:18,120.0,R,1.4436251444006862,2009SV17_120s/2009SV17_120s_b2x2-002_R.fit
25,2019-01-11T02:20:21,200.0,R,1.4291698332630216,2009SV17_200s/2009SV17_200s_b2x2-001_R.fit
26,2019-01-11T02:23:43,200.0,R,1.417749553521745,2009SV17_200s/2009SV17_200s_b2x2-002_R.fit
27,2019-01-11T02:27:05,200.0,R,1.4068947754127479,2009SV17_200s/2009SV17_200s_b2x2-003_R.fit
28,2019-01-11T02:30:27,200.0,R,1.3964813472598945,2009SV17_200s/2009SV17_200s_b2x2-004_R.fit
15,2019-01-11T02:42:46,10.0,R,1.2629012271558349,GD108/GD108_10s_b2x2-006_R.fit
16,2019-01-11T02:42:58,10.0,R,1.2620619314376096,GD108/GD108_10s_b2x2-007_R.fit
17,2019-01-11T02:43:10,10.0,R,1.2612246819640158,GD108/GD108_10s_b2x2-008_R.fit
18,2019-01-11T02:43:23,10.0,R,1.2603199683326454,GD108/GD108_10s_b2x2-009_R.fit
19,2019-01-11T02:43:35,10.0,R,1.2594869735490761,GD108/GD108_10s_b2x2-010_R.fit
6,2019-01-11T03:07:32,40.0,R,1.1676901246498554,1998NU/1998NU_40s_b2x2-201_R.fit
7,2019-01-11T03:43:33,40.0,R,1.18992672791714,1998NU/1998NU_40s_b2x2-251_R.fit
20,2019-01-11T04:05:39,10.0,R,1.046548834425233,GD108/GD108_10s_b2x2-011_R.fit
21,2019-01-11T04:05:51,10.0,R,1.0462707050308602,GD108/GD108_10s_b2x2-012_R.fit
22,2019-01-11T04:06:03,10.0,R,1.0459935052157658,GD108/GD108_10s_b2x2-013_R.fit
23,2019-01-11T04:06:16,10.0,R,1.045694251195292,GD108/GD108_10s_b2x2-014_R.fit
24,2019-01-11T04:06:28,10.0,R,1.0454189814682135,GD108/GD108_10s_b2x2-015_R.fit
8,2019-01-11T04:26:48,40.0,R,1.2627002760904016,1998NU/1998NU_40s_b2x2-301_R.fit
9,2019-01-11T04:47:51,40.0,R,1.3204675579471779,1998NU/1998NU_40s_b2x2-331_R.fit
