,NAME,DATE-OBS,EXP-TIME,FILTER,AIRMASS
5,750/750_60s_b2x2-015_R.fit,2019-01-13T22:37:41,60.0,R,1.1302276493546053
6,750/750_60s_b2x2-030_R.fit,2019-01-13T22:57:01,60.0,R,1.1418735997244391
7,750/750_60s_b2x2-045_R.fit,2019-01-13T23:12:39,60.0,R,1.157895957959359
8,750/750_60s_b2x2-060_R.fit,2019-01-13T23:28:23,60.0,R,1.1804310740009565
9,750/750_60s_b2x2-075_R.fit,2019-01-13T23:44:09,60.0,R,1.2100883384877712
10,750/750_60s_b2x2-090_R.fit,2019-01-13T23:59:54,60.0,R,1.2476490370869044
11,750/750_60s_b2x2-105_R.fit,2019-01-14T00:15:39,60.0,R,1.2943100928123157
12,750/750_60s_b2x2-120_R.fit,2019-01-14T00:31:24,60.0,R,1.3516442597544422
13,750/750_60s_b2x2-135_R.fit,2019-01-14T00:47:09,60.0,R,1.421772783537255
14,750/750_60s_b2x2-150_R.fit,2019-01-14T01:02:56,60.0,R,1.5077873336867929
15,750/750_60s_b2x2-175_R.fit,2019-01-14T01:30:45,60.0,R,1.7109899761004321
0,1998NU/1998NU_40s_b2x2-010_R.fit,2019-01-14T02:09:41,40.0,R,1.1798116709623434
1,1998NU/1998NU_40s_b2x2-020_R.fit,2019-01-14T02:16:49,40.0,R,1.1739588411282218
2,1998NU/1998NU_40s_b2x2-030_R.fit,2019-01-14T02:23:57,40.0,R,1.1693681707063042
3,1998NU/1998NU_40s_b2x2-040_R.fit,2019-01-14T02:31:05,40.0,R,1.1660152021159318
4,1998NU/1998NU_40s_b2x2-050_R.fit,2019-01-14T02:43:07,40.0,R,1.1631178067283345
