,DATE-OBS,EXP-TIME,AIRMASS,FILTER,FWHM,NAME
0,2019-01-30T22:39:11,90.0,1.103105823737674,R,2.0444,1998OH/1998OH_90s_b2x2-010_R.fit
1,2019-01-30T22:54:43,90.0,1.1342680335816746,R,3.5587,1998OH/1998OH_90s_b2x2-020_R.fit
2,2019-01-30T23:10:14,90.0,1.1723752500751745,R,3.7158,1998OH/1998OH_90s_b2x2-030_R.fit
6,2019-01-31T01:16:38,10.0,1.716314008098277,No Filter,2.8849,A10BMLZ/A10BMLZ_10s_b2x2-020_SF.fit
7,2019-01-31T01:21:03,10.0,1.7313074420192707,No Filter,2.886,A10BMLZ/A10BMLZ_10s_b2x2-040_SF.fit
8,2019-01-31T01:25:25,10.0,1.747120371271066,No Filter,2.9532,A10BMLZ/A10BMLZ_10s_b2x2-060_SF.fit
3,2019-01-31T02:21:55,50.0,1.2083526874997306,R,2.1727,2003YE45/2003YE45_50s_b2x2-045_R.fit
4,2019-01-31T03:01:50,50.0,1.3818573200449271,R,2.4653,2003YE45/2003YE45_50s_b2x2-090_R.fit
5,2019-01-31T03:42:00,50.0,1.6754454142831858,R,2.5511,2003YE45/2003YE45_50s_b2x2-135_R.fit
9,2019-01-31T06:54:42,50.0,1.9425243364957316,R,2.3984,2003CP20/2003CP20_50s_b2x2-010_R.fit
10,2019-01-31T07:03:34,50.0,1.8360203918089868,R,2.6601,2003CP20/2003CP20_50s_b2x2-020_R.fit
11,2019-01-31T07:12:26,50.0,1.7431856137063177,R,2.8435,2003CP20/2003CP20_50s_b2x2-030_R.fit
