,FILTER,EXP-TIME,DATE-OBS,XBINNING,IMAGE-NAME
0,R,90.0,2019-06-01T23:53:40,2,1998NU_90s_b2x2-001_R.fit
1,R,90.0,2019-06-01T23:56:00,2,1998NU_90s_b2x2-002_R.fit
2,R,90.0,2019-06-01T23:58:20,2,1998NU_90s_b2x2-003_R.fit
3,R,90.0,2019-06-01T23:59:52,2,1998NU_90s_b2x2-004_R.fit
4,R,90.0,2019-06-02T00:01:25,2,1998NU_90s_b2x2-005_R.fit
5,R,90.0,2019-06-02T00:02:58,2,1998NU_90s_b2x2-006_R.fit
6,R,90.0,2019-06-02T00:04:32,2,1998NU_90s_b2x2-007_R.fit
7,R,90.0,2019-06-02T00:06:05,2,1998NU_90s_b2x2-008_R.fit
8,R,90.0,2019-06-02T00:09:37,2,1998NU_90s_b2x2-009_R.fit
9,R,90.0,2019-06-02T00:12:54,2,1998NU_90s_b2x2-010_R.fit
10,R,90.0,2019-06-02T00:14:27,2,1998NU_90s_b2x2-011_R.fit
11,R,90.0,2019-06-02T00:16:00,2,1998NU_90s_b2x2-012_R.fit
12,R,90.0,2019-06-02T00:17:33,2,1998NU_90s_b2x2-013_R.fit
13,R,90.0,2019-06-02T00:19:05,2,1998NU_90s_b2x2-014_R.fit
14,R,90.0,2019-06-02T00:20:38,2,1998NU_90s_b2x2-015_R.fit
15,R,90.0,2019-06-02T00:22:11,2,1998NU_90s_b2x2-016_R.fit
16,R,90.0,2019-06-02T00:23:44,2,1998NU_90s_b2x2-017_R.fit
17,R,90.0,2019-06-02T00:25:18,2,1998NU_90s_b2x2-018_R.fit
18,R,90.0,2019-06-02T00:26:51,2,1998NU_90s_b2x2-019_R.fit
19,R,90.0,2019-06-02T00:28:23,2,1998NU_90s_b2x2-020_R.fit
20,R,90.0,2019-06-02T00:30:23,2,1998NU_90s_b2x2-021_R.fit
21,R,90.0,2019-06-02T00:31:56,2,1998NU_90s_b2x2-022_R.fit
22,R,90.0,2019-06-02T00:33:29,2,1998NU_90s_b2x2-023_R.fit
23,R,90.0,2019-06-02T00:35:01,2,1998NU_90s_b2x2-024_R.fit
24,R,90.0,2019-06-02T00:36:34,2,1998NU_90s_b2x2-025_R.fit
25,R,90.0,2019-06-02T00:38:07,2,1998NU_90s_b2x2-026_R.fit
26,R,90.0,2019-06-02T00:39:40,2,1998NU_90s_b2x2-027_R.fit
27,R,90.0,2019-06-02T00:41:14,2,1998NU_90s_b2x2-028_R.fit
28,R,90.0,2019-06-02T00:42:47,2,1998NU_90s_b2x2-029_R.fit
29,R,90.0,2019-06-02T00:44:20,2,1998NU_90s_b2x2-030_R.fit
30,R,90.0,2019-06-02T00:45:53,2,1998NU_90s_b2x2-031_R.fit
31,R,90.0,2019-06-02T00:47:26,2,1998NU_90s_b2x2-032_R.fit
32,R,90.0,2019-06-02T00:48:59,2,1998NU_90s_b2x2-033_R.fit
