Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.598785
Longitude: -38.584062
Altitude: 327.42
Situacao: Operante
Data Inicial: 2011-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2011-01-01;0;47,666667;
2011-01-02;0;52,75;
2011-01-03;11;68,833333;
2011-01-04;0;58,166667;
2011-01-05;0;51,75;
2011-01-06;0;56,583333;
2011-01-07;0;52,833333;
2011-01-08;0;52,125;
2011-01-09;0;54,166667;
2011-01-10;0;60,791667;
2011-01-11;20,8;70,041667;
2011-01-12;0;69,708333;
2011-01-13;9,4;67,375;
2011-01-14;0;56,208333;
2011-01-15;0;56,083333;
2011-01-16;0;53,125;
2011-01-17;0;47,458333;
2011-01-18;0;50,625;
2011-01-19;0;49,75;
2011-01-20;0;55,25;
2011-01-21;9,6;81,208333;
2011-01-22;,2;71,416667;
2011-01-23;,8;71,5;
2011-01-24;6,2;68,583333;
2011-01-25;0;62,375;
2011-01-26;15,4;73,291667;
2011-01-27;0;65,708333;
2011-01-28;0;61,083333;
2011-01-29;0;58,291667;
2011-01-30;0;57,541667;
2011-01-31;0;56,416667;
2011-02-01;0;56,625;
2011-02-02;,4;60,958333;
2011-02-03;0;52;
2011-02-04;0;57,458333;
2011-02-05;0;60,666667;
2011-02-06;4;55,416667;
2011-02-07;0;52,958333;
2011-02-08;0;52,791667;
2011-02-09;0;49;
2011-02-10;0;48,25;
2011-02-11;0;52,125;
2011-02-12;0;49,75;
2011-02-13;0;56,583333;
2011-02-14;0;64,916667;
2011-02-15;0;70,416667;
2011-02-16;2,4;63,75;
2011-02-17;0;53,75;
2011-02-18;0;53,208333;
2011-02-19;0;58,333333;
2011-02-20;0;78,583333;
2011-02-21;11,6;72,708333;
2011-02-22;3,2;69,791667;
2011-02-23;0;70,541667;
2011-02-24;3,8;66,041667;
2011-02-25;6,6;78,208333;
2011-02-26;22,4;72,166667;
2011-02-27;1,2;68,666667;
2011-02-28;0;68,708333;
2011-03-01;0;72,083333;
2011-03-02;0;67,583333;
2011-03-03;,2;66,625;
2011-03-04;0;58,958333;
2011-03-05;0;54,958333;
2011-03-06;0;63,125;
2011-03-07;6,4;61,416667;
2011-03-08;,2;62,041667;
2011-03-09;0;62,15;
2011-03-10;0;60,708333;
2011-03-11;2;70,583333;
2011-03-12;1,2;63,75;
2011-03-13;0;63,291667;
2011-03-14;,2;63,416667;
2011-03-15;8;68,583333;
2011-03-16;1,6;66,208333;
2011-03-17;0;57,291667;
2011-03-18;0;55,041667;
2011-03-19;0;57,958333;
2011-03-20;0;52,291667;
2011-03-21;0;56,208333;
2011-03-22;0;56,833333;
2011-03-23;0;57,083333;
2011-03-24;0;62,916667;
2011-03-25;0;57,125;
2011-03-26;0;56,041667;
2011-03-27;14,8;72,916667;
2011-03-28;19,2;79;
2011-03-29;15,8;75,52381;
2011-03-30;0;65,952381;
