,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-11-04T23:09:53,R,30.0,1.1057674587506254,3.2501,1,1.0024673635815122,1999LE31_30s-001_R.fit
1,2019-11-05T00:50:50,R,30.0,1.2178284231483292,4.7026,1,1.3688573049322148,2017RG16_30s-001_R.fit
2,2019-11-05T01:02:54,R,30.0,1.3464408981444451,4.8443,1,1.3276709583202577,1999LE31_30s-016_R.fit
3,2019-11-05T02:38:45,R,30.0,1.0758450498579046,4.6636,1,1.4623228290248966,2011AT15_30s_b2x2-001_R.fit
4,2019-11-05T03:02:27,R,30.0,1.12738419117378,4.0583,1,1.237293654548137,2011AT15_30s_b2x2-016_R.fit
5,2019-11-05T03:31:25,R,30.0,1.4143236086519957,5.2252,1,1.3904182054968437,2014OG392_30s_b2x2-030_R.fit
0,2019-11-21T01:48:29,R,30.0,1.081772564349609,5.2505,1,1.6409331440698243,Gonz_2000KD41_b1x1_30s-001_R.fit
1,2019-11-21T02:38:14,R,30.0,1.0935139406286891,5.321,1,1.6522298591838986,2014QA43_b1x1_30s-001_R.fit
2,2019-11-21T03:11:52,R,30.0,1.3372044596906942,4.8753,1,1.3416970262182313,Gonz_2000KD41_b1x1_30s-016_R.fit
3,2019-11-21T03:32:22,R,30.0,1.1874396458937604,5.3188,1,1.5718769123098284,Gonz_2014QA43_b1x1_30s-015_R.fit
0,2019-11-22T03:08:52,R,30.0,1.2935269135405918,4.9675,1,1.3945830943240982,2015PN291_b1x1_30s-001_R.fit
1,2019-11-22T04:23:35,R,30.0,1.4244305498757406,4.2403,1,1.123527270523088,Gonzalo_2015PN291_b1x1_30s-001_R.fit
2,2019-11-22T04:31:14,R,30.0,1.4494361214643086,4.7943,1,1.2571223859660448,Gonzalo_2015PN291_b1x1_30s-015_R.fit
0,2019-11-24T02:52:36,R,30.0,1.2251170456877951,3.9978,1,1.1595415520065022,Gonzalo_1984WE1_30s-015_R.fit
1,2019-11-24T04:03:10,R,30.0,1.4296936270843532,4.8915,1,1.2932070723884492,Gonzalo_2005TS100_30s-002_R.fit
2,2019-11-24T05:07:24,R,30.0,1.8384248347158596,4.4937,1,1.0216646116488055,Gonzalo_2005TS100_30s-016_R.fit
3,2019-11-24T05:38:45,R,30.0,1.9032353919955125,4.8618,1,1.0826133749150735,Gonzalo_2015PN291_30s-030_R.fit
0,2019-11-30T22:24:24,R,30.0,1.0595420860504117,5.0576,1,1.600461949064963,Gonzalo_1994EQ3_30s_b1x1-001_R.fit
1,2019-11-30T23:00:20,R,30.0,1.045957842412887,5.6856,1,1.8131744726416372,Gonzalo_2000KD41_30s_b1x1-008_R.fit
2,2019-12-01T00:40:21,R,30.0,1.0479158204685366,7.6636,1,2.441230529580469,Gonzalo_2000KD41_30s_b1x1-016_R.fit
3,2019-12-01T00:48:02,R,30.0,1.0566110049504305,9.1125,1,2.888419481225834,Gonzalo_2000KD41_30s_b1x1-030_R.fit
