,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-09-01T23:09:24,R,30.0,1.618163188469541,2.6314,2,1.2917405042112085,2001RB18_30s_b2x2-001_R.fit
1,2019-09-02T00:00:15,R,30.0,1.3172840241894073,2.3332,2,1.2958242722328206,2001RB18_30s_b2x2-096_R.fit
0,2019-09-03T04:21:25,R,30.0,1.2156571917089969,4.2224,1,1.230394838611644,2013MZ11-001_R.fit
1,2019-09-03T05:00:43,R,30.0,1.5395752281585358,5.0002,1,1.2644994038643689,2004GN17-030_R.fit
0,2019-09-04T03:13:10,R,30.0,1.0619969740867552,3.3074,1,1.0451642746231815,2013MZ11-001_R.fit
1,2019-09-04T04:00:28,R,30.0,1.256301172681613,3.1801,1,0.9085656629944473,2004GN17-025_R.fit
0,2019-09-23T03:32:08,R,30.0,1.5387550631820497,5.2105,1,1.3181034756957772,2004GN17_30s_b1x1-001_R.fit
1,2019-09-23T04:00:27,R,30.0,1.2474194134232717,3.8637,1,1.1085816886070385,2013QQ95_30s_b1x1-012_R.fit
0,2019-09-25T03:25:27,R,30.0,1.360569705991884,4.213,1,1.147442107221214,2013MZ11_30s_b2x2-001_R.fit
1,2019-09-25T04:00:21,R,30.0,1.2599025856933437,5.9037,1,1.6838131700889671,1999LE31_30s_b2x2-010_R.fit
2,2019-09-25T04:47:48,R,30.0,1.1528396785349757,7.6926,1,2.3141078903647134,354P_30s_b2x2-015_R.fit
0,2019-09-26T03:14:42,R,30.0,1.1468871430521443,2.5729,2,1.5527884573983968,2001RB18_30s_b2x2-001_R.fit
1,2019-09-26T03:41:46,R,30.0,1.1475317976143302,2.5441,2,1.5348895825427993,2001RB18_30s_b2x2-053_R.fit
