,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-08-27T23:24:13,R,40.0,1.5202949080586263,3.3617,2,1.7131841479456718,2001RB18_40s_b2x2-001_R.fit
1,2019-08-28T00:00:39,R,40.0,1.3187486665444443,3.1311,2,1.7378068937845057,2001RB18_40s_b2x2-053_R.fit
2,2019-08-28T01:00:10,R,40.0,1.1376803666926034,2.715,2,1.646491426089082,2001RB18_40s_b2x2-138_R.fit
3,2019-08-28T02:04:48,R,40.0,1.0631065731498828,2.655,2,1.6769504909846327,2001RB18_40s_b2x2-219_R.fit
4,2019-08-28T03:00:11,R,40.0,1.071811729378996,3.1903,2,2.005220880228105,2001RB18_40s_b2x2-298_R.fit
0,2019-08-28T23:39:05,R,40.0,1.4230176669410726,2.7065,2,1.435104921817429,2001RB18_40s_b2x2-001_R.fit
1,2019-08-29T00:00:18,R,40.0,1.3180929178170762,2.2358,2,1.2412724990721447,2001RB18_40s_b2x2-031_R.fit
2,2019-08-29T01:13:15,R,40.0,1.108265980315554,2.0593,2,1.2686301128085453,2001RB18_40s_b2x2-099_R.fit
3,2019-08-29T02:25:08,R,40.0,1.0612330264027092,3.1063,2,1.9640780406378209,2001RB18_40s_b2x2-145_R.fit
4,2019-08-29T03:00:06,R,40.0,1.0751561306960613,2.4441,2,1.5333378182780464,2001RB18_40s_b2x2-193_R.fit
5,2019-08-29T04:00:37,R,40.0,1.1672740975536635,2.2581,2,1.348469908045072,2001RB18_40s_b2x2-279_R.fit
0,2019-08-30T00:27:11,R,40.0,1.2195528286693882,2.1463,2,1.2484520088064905,2001RB18_40s_b2x2-001_R.fit
1,2019-08-30T02:01:36,R,40.0,1.068095354654746,2.1581,2,1.3592750540321579,2001RB18_40s_b2x2-047_R.fit
2,2019-08-30T03:00:27,R,40.0,1.078871195274849,2.099,2,1.3141122912273764,2001RB18_40s_b2x2-130_R.fit
3,2019-08-30T04:00:16,R,40.0,1.171638057425708,2.1287,2,1.2683531029829895,2001RB18_40s_b2x2-215_R.fit
4,2019-08-30T05:00:19,R,40.0,1.3895551816470568,1.8658,2,1.0035555279753823,2001RB18_40s_b2x2-302_R.fit
5,2019-08-30T06:02:50,R,40.0,1.8982947615891617,2.3252,2,1.0371556136761042,2001RB18_40s_b2x2-375_R.fit
6,2019-08-30T06:35:12,R,40.0,2.4398762469535606,2.7884,2,1.0698827671007562,2001RB18_40s_b2x2-422_R.fit
0,2019-08-30T23:09:51,R,40.0,1.615628824405558,2.0624,2,1.0133739638104984,2001RB18_40s_b2x2-001_R.fit
1,2019-08-31T00:00:22,R,40.0,1.3151766899368664,2.0837,2,1.1583679360687558,2001RB18_40s_b2x2-073_R.fit
2,2019-08-31T01:00:36,R,40.0,1.1387197173641694,2.5122,2,1.5226703970299915,2001RB18_40s_b2x2-137_R.fit
3,2019-08-31T01:17:58,R,40.0,1.1099329484873015,2.5121,2,1.5461822202030264,2001RB18_40s_b2x2-159_R.fit
0,2019-08-31T22:33:15,R,40.0,2.005860771395888,2.1306,2,0.9194396943842205,2001RB18_40s_b2x2-001_R.fit
1,2019-08-31T23:00:02,R,40.0,1.6973409581602383,2.2821,2,1.0886167539398508,2001RB18_40s_b2x2-039_R.fit
2,2019-09-01T00:00:02,R,40.0,1.315700695814181,3.0621,2,1.7018720445626578,2001RB18_40s_b2x2-124_R.fit
3,2019-09-01T00:25:42,R,40.0,1.2235716653363902,2.6801,2,1.5558766014698147,2001RB18_40s_b2x2-161_R.fit
