,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-01-08T23:11:50,R,40.0,2.4369407550205766,1.9656,2,0.7547271242526142,1998NU_40s_b2x2-001_R.fit
1,2019-01-09T00:00:41,R,40.0,1.7691752405782488,1.8695,2,0.8698908353847158,1998NU_40s_b2x2-070_R.fit
2,2019-01-09T01:00:31,R,40.0,1.396026289549084,2.1602,2,1.1586695698888243,1998NU_40s_b2x2-155_R.fit
3,2019-01-09T02:00:28,R,40.0,1.2267963538265465,1.985,2,1.1505323192329808,1998NU_40s_b2x2-240_R.fit
4,2019-01-09T03:00:21,R,40.0,1.1703337744832951,1.7584,2,1.0484159746357151,1998NU_40s_b2x2-324_R.fit
5,2019-01-09T04:00:25,R,40.0,1.2025566969150974,1.7153,2,1.0061866446189789,1998NU_40s_b2x2-408_R.fit
6,2019-01-09T05:00:14,R,40.0,1.336387075570142,1.9304,2,1.0628934883381653,1998NU_40s_b2x2-473_R.fit
7,2019-01-09T06:00:31,R,40.0,1.6416433963995911,2.37,2,1.1534077075313531,1998NU_40s_b2x2-537_R.fit
8,2019-01-09T06:20:18,R,40.0,1.8084343150285989,2.3712,2,1.0889008590348557,1998NU_40s_b2x2-565_R.fit
0,2019-01-10T23:59:03,R,40.0,1.7060653189110746,1.8906,2,0.899091844717679,1998NU_40s_b2x2-001_R.fit
1,2019-01-11T01:00:32,R,40.0,1.3600308397166567,1.8001,2,0.9807745224631372,1998NU_40s_b2x2-088_R.fit
2,2019-01-11T02:00:18,R,40.0,1.2106589047067842,2.1919,2,1.2805880766180768,1998NU_40s_b2x2-166_R.fit
3,2019-01-11T03:00:05,R,40.0,1.1670134502755276,1.8485,2,1.104016935938552,1998NU_40s_b2x2-192_R.fit
4,2019-01-11T04:00:26,R,40.0,1.2118134797668385,1.6537,2,0.9655995541417688,1998NU_40s_b2x2-275_R.fit
5,2019-01-11T04:49:14,R,40.0,1.3248778962932883,1.6419,2,0.9087469949668584,1998NU_40s_b2x2-333_R.fit
0,2019-01-13T01:02:33,R,40.0,1.320952717098382,1.8559,2,1.0290204504330305,1998NU_40s_b2x2-001_R.fit
1,2019-01-13T04:10:22,R,40.0,1.2420631970918503,2.4137,2,1.3886694197176064,1998NU_40s_b2x2-010_R.fit
2,2019-01-13T05:00:32,R,40.0,1.3940884316554232,2.4246,2,1.3015705229005732,1998NU_40s_b2x2-080_R.fit
3,2019-01-13T06:00:04,R,40.0,1.7676876813577307,2.8683,2,1.3353129144308618,1998NU_40s_b2x2-163_R.fit
4,2019-01-13T06:31:35,R,40.0,2.1370893829941666,2.5487,2,1.0588316256541188,1998NU_40s_b2x2-207_R.fit
0,2019-01-14T02:03:16,R,40.0,1.186180676223073,3.133,2,1.8529840696497364,1998NU_40s_b2x2-001_R.fit
1,2019-01-14T03:04:40,R,40.0,1.1661641382592782,5.6694,2,3.3875295151053857,1998NU_40s_b2x2-057_R.fit
2,2019-01-14T05:12:48,R,40.0,1.464193214708812,6.0216,2,3.1387351189460055,1998NU_40s_b2x2-065_R.fit
3,2019-01-14T05:53:33,R,40.0,1.7373431946765083,5.8801,2,2.7660188736295694,1998NU_40s_b2x2-099_R.fit
