,DATE-OBS,FILTER,EXP-TIME,AIRMASS,FWHM,XBINNING,SEEING,IMAGE-NAME
0,2019-06-05T01:40:46,R,40.0,1.1119185307343613,1.939,2,1.1921635131882775,1459_40s_b2x2-001_R.fit
1,2019-06-05T02:00:33,R,40.0,1.1618829414584813,2.0856,2,1.2489222145870469,1459_40s_b2x2-029_R.fit
2,2019-06-05T03:00:14,R,40.0,1.411558025342755,2.0746,2,1.1053935595179205,1459_40s_b2x2-113_R.fit
3,2019-06-05T04:00:10,R,40.0,1.95870683759813,2.3528,2,1.0299239217355856,1459_40s_b2x2-198_R.fit
4,2019-06-05T04:19:01,R,40.0,2.2668035921658407,2.2526,2,0.903311505926901,1459_40s_b2x2-225_R.fit
0,2019-06-06T00:58:41,R,40.0,1.0470741576298004,2.0746,2,1.3223600082824858,1459_40s_b2x2-001_R.fit
1,2019-06-06T02:00:11,R,40.0,1.1739088688050126,2.7141,2,1.6152770121491649,1459_40s_b2x2-074_R.fit
2,2019-06-06T03:03:43,R,40.0,1.461205612097338,2.8776,2,1.5017769127472296,1459_40s_b2x2-149_R.fit
3,2019-06-06T04:00:41,R,40.0,2.0312721126467745,3.1207,2,1.3365738345693152,1459_40s_b2x2-230_R.fit
4,2019-06-06T04:11:11,R,40.0,2.2047330152868456,3.3885,2,1.3816425011881133,1459_40s_b2x2-245_R.fit
